"Av_EV_mortero" "Av_EV_quijote" "Barr_EP_triunfo" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EP_vieja" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EP_buscaoficios" "Salas_EP_mirones" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"se" 0.89086859688196 0.541795665634675 1.40545144804089 1.49253731343284 0.888450148075025 1.47515527950311 0.637393767705382 1.06442577030812 0.650230289894338 0.732356857523302 1.14873035066505 1.21372031662269 1.17673681828468 1.63111668757842 0.763358778625954 1.46048109965636 0.810979413599501 0.424989375265618 0.759734093067426 1.18934348239772 0.8 0.857755539671194 1.41987829614604 0.699300699300699 1.25958378970427 0.626740947075209 0.916496945010183 1.20859444941808 0.62749572162008 0.553301364810033 0.731930466605673 1.1142061281337 0.963222416812609
"los" 0.534521158129176 0.657894736842105 0.851788756388416 1.49253731343284 1.08588351431392 0.543478260869565 0.708215297450425 1.06442577030812 0.650230289894338 0.965379494007989 1.14873035066505 0.659630606860158 0.656257071735687 1.25470514429109 0.908760450745184 1.20274914089347 0.49906425452277 0.977475563110922 0.854700854700855 0.903901046622265 0.571428571428571 1.71551107934239 0.811359026369168 1.29101667563206 1.1500547645126 0.974930362116992 1.83299389002037 1.7905102954342 0.741585852823731 0.774621910734047 0.274473924977127 0.766016713091922 0.700525394045534
"yo" 1.02449888641425 0.580495356037152 1.08603066439523 0.459242250287026 0.394866732477789 0.854037267080745 0.495750708215297 1.42857142857143 0.812787862367922 0.765645805592543 0.846432889963724 1.2664907651715 1.06358904729577 0.96194061062317 0.836059614685569 1.20274914089347 0.686213349968808 0.764980875478113 0.237416904083571 0.618458610846813 1.08571428571429 0.714796283059328 0.608519269776876 1.34480903711673 1.20481927710843 1.1142061281337 0.560081466395112 0.760966875559534 0.770108385624643 1.21726300258207 1.18938700823422 1.18384401114206 0.262697022767075
"un" 1.11358574610245 0.580495356037152 0.979557069846678 1.14810562571757 0.987166831194472 1.5527950310559 1.34560906515581 0.532212885154062 0.975345434841506 0.66577896138482 0.332527206771463 0.633245382585752 0.610997963340122 0.836470096194061 0.981461286804798 0.257731958762887 0.99812850904554 1.52996175095623 1.329534662868 0.71360608943863 0.628571428571429 0.285918513223731 1.41987829614604 1.12963959117805 1.25958378970427 1.18384401114206 0.916496945010183 0.62667860340197 0.884198516828294 0.700848395426042 0.731930466605673 0.835654596100279 1.57618213660245
"lo" 0.534521158129176 0.696594427244582 1.10732538330494 1.83696900114811 1.18460019743337 0.46583850931677 0.708215297450425 0.952380952380952 0.839880791113519 0.66577896138482 0.755743651753325 0.659630606860158 0.859923059515728 0.752823086574655 0.581606688476917 0.687285223367698 1.37242669993762 1.06247343816405 0.997150997150997 0.903901046622265 2.4 0.285918513223731 0.811359026369168 0.699300699300699 0.876232201533406 0.905292479108635 0.840122199592668 0.35810205908684 0.998288648031945 0.590188122464035 1.18938700823422 0.278551532033426 0.612959719789842
"las" 0.267260579064588 0.773993808049536 0.936967632027257 1.14810562571757 1.28331688055281 0.232919254658385 0.354107648725212 0.784313725490196 0.596044432403143 0.832223701731025 1.05804111245466 1.37203166226913 0.746775288526816 0.585529067335843 1.01781170483461 0.343642611683849 0.623830318153462 0.637484062898428 0.854700854700855 0.951474785918173 0.971428571428571 1.64403145103645 0.50709939148073 0.376546530392684 0.547645125958379 0.278551532033426 1.24745417515275 1.43240823634736 0.427837992013691 0.848395426042051 0.640439158279963 0.626740947075209 0.175131348511384
"qué" 0.89086859688196 0.503095975232198 0.809199318568995 0.918484500574053 1.28331688055281 0.543478260869565 0.637393767705382 0.448179271708683 0.62313736114874 0.466045272969374 0.513905683192261 0.712401055408971 0.769404842724598 0.501882057716437 0.69065794256634 0.77319587628866 1.43480973175296 1.06247343816405 1.70940170940171 0.71360608943863 0.114285714285714 0.50035739814153 0.912778904665314 1.3986013986014 1.20481927710843 0.974930362116992 0.330957230142566 0.223813786929275 0.827153451226469 0.553301364810033 0.640439158279963 0.974930362116992 1.22591943957968
"mi" 0.801781737193764 0.773993808049536 0.489778534923339 0.459242250287026 0.197433366238894 0.854037267080745 0.779036827195467 1.12044817927171 1.11081007856949 0.466045272969374 0.423216444981862 0.976253298153034 0.814663951120163 0.54370556252614 0.836059614685569 0.945017182130584 0.623830318153462 0.552486187845304 0.284900284900285 0.380589914367269 0.8 0.428877769835597 0.912778904665314 0.860677783754707 1.20481927710843 0.626740947075209 0.941955193482688 0.17905102954342 0.798630918425556 0.922168941350055 1.0064043915828 0.835654596100279 0.262697022767075
"si" 0.757238307349666 0.541795665634675 0.638841567291312 0.574052812858783 0.987166831194472 0.77639751552795 0.424929178470255 0.868347338935574 0.352208073692766 0.765645805592543 0.544135429262394 0.79155672823219 0.724145734329034 0.710999581764952 0.436205016357688 0.601374570446735 0.623830318153462 0.764980875478113 0.759734093067426 0.666032350142721 0.342857142857143 1.07219442458899 0.50709939148073 0.268961807423346 0.383351588170865 1.18384401114206 0.330957230142566 0.17905102954342 0.684540787221905 0.774621910734047 1.09789569990851 1.94986072423398 0.963222416812609
"más" 0.356347438752784 0.425696594427245 0.511073253833049 0.114810562571757 0.296150049358342 0.62111801242236 0.212464589235127 0.672268907563025 0.433486859929558 0.66577896138482 0.423216444981862 0.870712401055409 0.656257071735687 0.627352572145546 0.727008360596147 0.0859106529209622 0.561447286338116 0.849978750531237 0.474833808167141 0.523311132254995 0.571428571428571 0.428877769835597 0.101419878296146 0.860677783754707 0.438116100766703 0.278551532033426 1.17107942973523 0.850492390331244 0.94124358243012 0.811508668388049 0.640439158279963 0.487465181058496 1.31348511383538
