"Av_EV_mortero" "Av_EV_quijote" "Belm_EV_rana" "Belm_EV_sierra" "Cast_EV_barbador" "Cast_EV_comisario" "Cerv_EV_eleccion" "Cerv_EV_rufian" "Dub_EV_romances_R" "Hurt_EV_getafe" "Hurt_EV_miser1" "Hurt_EV_miser2" "Quev_EV_marido" "Quev_EV_niño" "Quin_EV_barbero" "Quin_EV_borracho" "Quin_EV_sacristanes" "Quin_EV_ventero" "Salas_EV_caprichoso" "Salas_EV_comisario" "Vel_EV_antonia" "Vel_EV_atarantados" "Vel_EV_burla"
"un" 1.11358574610245 0.580495356037152 1.14810562571757 0.987166831194472 1.5527950310559 1.34560906515581 0.836470096194061 0.981461286804798 0.257731958762887 0.99812850904554 1.52996175095623 1.329534662868 0.628571428571429 0.285918513223731 1.41987829614604 1.12963959117805 1.25958378970427 1.18384401114206 0.884198516828294 0.700848395426042 0.731930466605673 0.835654596100279 1.57618213660245
"me" 1.42538975501114 0.580495356037152 1.14810562571757 0.592300098716683 1.00931677018634 0.495750708215297 0.96194061062317 0.799709196655762 0.77319587628866 0.686213349968808 0.679983000424989 0.379867046533713 1.37142857142857 0.786275911365261 1.01419878296146 0.968262506724045 1.86199342825849 1.04456824512535 1.28351397604107 1.18037624492807 0.823421774931381 1.18384401114206 1.13835376532399
"por" 1.15812917594655 1.58668730650155 0.68886337543054 1.48075024679171 0.388198757763975 1.13314447592068 1.00376411543287 0.872410032715376 0.77319587628866 0.748596381784155 0.679983000424989 0.617283950617284 0.571428571428571 0.786275911365261 0.811359026369168 0.753093060785369 0.711938663745893 0.696378830083565 1.16942384483742 1.10660272962007 0.548947849954254 0.626740947075209 1.57618213660245
"los" 0.534521158129176 0.657894736842105 1.49253731343284 1.08588351431392 0.543478260869565 0.708215297450425 1.25470514429109 0.908760450745184 1.20274914089347 0.49906425452277 0.977475563110922 0.854700854700855 0.571428571428571 1.71551107934239 0.811359026369168 1.29101667563206 1.1500547645126 0.974930362116992 0.741585852823731 0.774621910734047 0.274473924977127 0.766016713091922 0.700525394045534
"se" 0.89086859688196 0.541795665634675 1.49253731343284 0.888450148075025 1.47515527950311 0.637393767705382 1.63111668757842 0.763358778625954 1.46048109965636 0.810979413599501 0.424989375265618 0.759734093067426 0.8 0.857755539671194 1.41987829614604 0.699300699300699 1.25958378970427 0.626740947075209 0.62749572162008 0.553301364810033 0.731930466605673 1.1142061281337 0.963222416812609
"lo" 0.534521158129176 0.696594427244582 1.83696900114811 1.18460019743337 0.46583850931677 0.708215297450425 0.752823086574655 0.581606688476917 0.687285223367698 1.37242669993762 1.06247343816405 0.997150997150997 2.4 0.285918513223731 0.811359026369168 0.699300699300699 0.876232201533406 0.905292479108635 0.998288648031945 0.590188122464035 1.18938700823422 0.278551532033426 0.612959719789842
"qué" 0.89086859688196 0.503095975232198 0.918484500574053 1.28331688055281 0.543478260869565 0.637393767705382 0.501882057716437 0.69065794256634 0.77319587628866 1.43480973175296 1.06247343816405 1.70940170940171 0.114285714285714 0.50035739814153 0.912778904665314 1.3986013986014 1.20481927710843 0.974930362116992 0.827153451226469 0.553301364810033 0.640439158279963 0.974930362116992 1.22591943957968
"yo" 1.02449888641425 0.580495356037152 0.459242250287026 0.394866732477789 0.854037267080745 0.495750708215297 0.96194061062317 0.836059614685569 1.20274914089347 0.686213349968808 0.764980875478113 0.237416904083571 1.08571428571429 0.714796283059328 0.608519269776876 1.34480903711673 1.20481927710843 1.1142061281337 0.770108385624643 1.21726300258207 1.18938700823422 1.18384401114206 0.262697022767075
"mi" 0.801781737193764 0.773993808049536 0.459242250287026 0.197433366238894 0.854037267080745 0.779036827195467 0.54370556252614 0.836059614685569 0.945017182130584 0.623830318153462 0.552486187845304 0.284900284900285 0.8 0.428877769835597 0.912778904665314 0.860677783754707 1.20481927710843 0.626740947075209 0.798630918425556 0.922168941350055 1.0064043915828 0.835654596100279 0.262697022767075
"si" 0.757238307349666 0.541795665634675 0.574052812858783 0.987166831194472 0.77639751552795 0.424929178470255 0.710999581764952 0.436205016357688 0.601374570446735 0.623830318153462 0.764980875478113 0.759734093067426 0.342857142857143 1.07219442458899 0.50709939148073 0.268961807423346 0.383351588170865 1.18384401114206 0.684540787221905 0.774621910734047 1.09789569990851 1.94986072423398 0.963222416812609
"las" 0.267260579064588 0.773993808049536 1.14810562571757 1.28331688055281 0.232919254658385 0.354107648725212 0.585529067335843 1.01781170483461 0.343642611683849 0.623830318153462 0.637484062898428 0.854700854700855 0.971428571428571 1.64403145103645 0.50709939148073 0.376546530392684 0.547645125958379 0.278551532033426 0.427837992013691 0.848395426042051 0.640439158279963 0.626740947075209 0.175131348511384
"más" 0.356347438752784 0.425696594427245 0.114810562571757 0.296150049358342 0.62111801242236 0.212464589235127 0.627352572145546 0.727008360596147 0.0859106529209622 0.561447286338116 0.849978750531237 0.474833808167141 0.571428571428571 0.428877769835597 0.101419878296146 0.860677783754707 0.438116100766703 0.278551532033426 0.94124358243012 0.811508668388049 0.640439158279963 0.487465181058496 1.31348511383538
