"Barr_EP_triunfo" "Cerv_EP_cueva" "Cerv_EP_guarda" "Cerv_EP_juez" "Cerv_EP_retablo" "Cerv_EP_viejo" "Cerv_EP_vizcaino" "Cerv_EV_eleccion" "Cerv_EV_rufian"
"todo" 0.255536626916525 0.252100840336134 0.189650501219182 0.33288948069241 0.241837968561064 0.474934036939314 0.452591083955646 0.418235048097031 0.181752090149037
"tengo" 0.340715502555366 0.168067226890756 0.406393931183961 0.532623169107856 0.392986698911729 0.211081794195251 0.203665987780041 0.167294019238812 0.218102508178844
"aquí" 0.234241908006814 0.336134453781513 0.135464643727987 0.199733688415446 0.423216444981862 0.184696569920844 0.339443312966735 0.418235048097031 0.327153762268266
"o" 0.127768313458262 0.252100840336134 0.325115144947169 0.33288948069241 0.120918984280532 0.263852242744063 0.407331975560081 0.334588038477624 0.399854598327881
"ya" 0.149063032367973 0.280112044817927 0.325115144947169 0.399467376830892 0.272067714631197 0.105540897097625 0.226295541977823 0.292764533667921 0.54525627044711
"esta" 0.106473594548552 0.476190476190476 0.568951503657545 0.233022636484687 0.211608222490931 0.184696569920844 0.429961529757864 0.0418235048097031 0
"tiene" 0.447189097103918 0.252100840336134 0.216743429964779 0.399467376830892 0.151148730350665 0.343007915567282 0.226295541977823 0.167294019238812 0.0727008360596147
"casa" 0.362010221465077 0.364145658263305 0.379301002438364 0.199733688415446 0.151148730350665 0.343007915567282 0.248925096175605 0.125470514429109 0.0363504180298073
"hay" 0.404599659284497 0.364145658263305 0.0812787862367922 0.266311584553928 0.272067714631197 0.158311345646438 0.226295541977823 0.460058552906734 0.145401672119229
"muy" 0.745315161839864 0.196078431372549 0.216743429964779 0.099866844207723 0.030229746070133 0.105540897097625 0.271554650373388 0.209117524048515 0.254452926208651
"ser" 0.255536626916525 0.196078431372549 0.379301002438364 0.399467376830892 0.392986698911729 0.158311345646438 0.203665987780041 0.292764533667921 0.0727008360596147
"pero" 0.191652470187394 0.30812324929972 0.216743429964779 0.33288948069241 0.181378476420798 0.369393139841689 0.271554650373388 0.0836470096194061 0.254452926208651
"tan" 0.191652470187394 0.168067226890756 0.189650501219182 0.366178428761651 0.392986698911729 0.29023746701847 0.271554650373388 0.209117524048515 0.109051254089422
"sin" 0.127768313458262 0.252100840336134 0.216743429964779 0.399467376830892 0.241837968561064 0.079155672823219 0.271554650373388 0.209117524048515 0.399854598327881
"soy" 0.0851788756388416 0.336134453781513 0.352208073692766 0.233022636484687 0.332527206771463 0.158311345646438 0.0905182167911292 0.334588038477624 0.327153762268266
"sino" 0.276831345826235 0.364145658263305 0.298022216201571 0.266311584553928 0.120918984280532 0.211081794195251 0.203665987780041 0.167294019238812 0.109051254089422
